Index,AccessCardNo,Date,Address,Access,Describe
1330906,25558880,2019/4/1 0:00,第六教学楼[进门],1,允许通过
1330907,18413143,2019/4/1 0:02,第六教学楼[出门],1,允许通过
1331384,11642752,2019/4/1 0:00,飞凤轩[进门],1,允许通过
1330908,24124155,2019/4/1 0:00,第六教学楼[出门],1,允许通过
1331385,18629328,2019/4/1 0:11,飞凤轩[进门],1,允许通过
1331386,22239680,2019/4/1 0:00,飞凤轩[出门],1,允许通过
1331387,18262967,2019/4/1 0:14,飞凤轩[进门],1,允许通过
1330909,10119856,2019/4/1 0:15,第六教学楼[进门],1,允许通过
1331388,22239680,2019/4/1 0:15,飞凤轩[进门],1,允许通过
1330910,24124155,2019/4/1 0:17,第六教学楼[进门],1,允许通过
1330911,8421141,2019/4/1 0:18,第六教学楼[进门],0,禁止通过-没有权限
1330912,9644192,2019/4/1 0:18,第六教学楼[进门],1,允许通过
1331389,137899,2019/4/1 0:20,飞凤轩[出门],1,允许通过
1331390,25421531,2019/4/1 0:39,飞凤轩[进门],1,允许通过
1331757,6310108,2019/4/1 0:45,青鸾苑[进门],1,允许通过
1331758,6310108,2019/4/1 0:45,青鸾苑[出门],1,允许通过
1330913,7423035,2019/4/1 0:47,第六教学楼[进门],0,禁止通过-没有权限
1330914,7423035,2019/4/1 0:47,第六教学楼[进门],0,禁止通过-没有权限
1330915,7423035,2019/4/1 0:47,第六教学楼[进门],0,禁止通过-没有权限
1330916,20314183,2019/4/1 0:47,第六教学楼[进门],0,禁止通过-没有权限
1330917,20314183,2019/4/1 0:47,第六教学楼[进门],0,禁止通过-没有权限
1330919,20314183,2019/4/1 0:49,第六教学楼[进门],0,禁止通过-没有权限
1330918,20314183,2019/4/1 0:49,第六教学楼[进门],0,禁止通过-没有权限
1330921,16740855,2019/4/1 0:49,第六教学楼[进门],1,允许通过
1330920,20314183,2019/4/1 0:49,第六教学楼[进门],0,禁止通过-没有权限
1331759,18262967,2019/4/1 0:49,青鸾苑[进门],1,允许通过
1331760,6310108,2019/4/1 0:50,青鸾苑[进门],1,允许通过
1331761,6310108,2019/4/1 0:53,青鸾苑[出门],1,允许通过
1330922,18413143,2019/4/1 0:57,第六教学楼[进门],1,允许通过
1330923,18153479,2019/4/1 0:00,第六教学楼[进门],1,允许通过
1331762,18262967,2019/4/1 0:00,青鸾苑[出门],1,允许通过
1331763,18262967,2019/4/1 1:04,青鸾苑[进门],1,允许通过
1331764,18262967,2019/4/1 0:00,青鸾苑[出门],1,允许通过
1331391,5851090,2019/4/1 1:36,飞凤轩[进门],1,允许通过
1331392,16401207,2019/4/1 2:18,飞凤轩[出门],1,允许通过
1330924,19536490,2019/4/1 2:23,第六教学楼[出门],1,允许通过
1331393,10411792,2019/4/1 2:46,飞凤轩[进门],1,允许通过
1330925,11926443,2019/4/1 3:05,第六教学楼[进门],1,允许通过
1330926,19536490,2019/4/1 3:13,第六教学楼[进门],1,允许通过
1330927,21140642,2019/4/1 3:40,第六教学楼[进门],1,允许通过
1331765,19220058,2019/4/1 3:56,青鸾苑[进门],1,允许通过
1330928,2009099,2019/4/1 5:51,第六教学楼[出门],1,允许通过
1330929,19753248,2019/4/1 6:16,第六教学楼[出门],1,允许通过
1331866,21844192,2019/4/1 6:19,第七教学楼[进门],1,允许通过
1330930,15158315,2019/4/1 6:19,第六教学楼[出门],1,允许通过
1330931,21403626,2019/4/1 6:20,第六教学楼[出门],1,允许通过
1331394,21355962,2019/4/1 6:22,飞凤轩[出门],1,允许通过
1331395,19435482,2019/4/1 6:24,飞凤轩[出门],1,允许通过
1330932,7641216,2019/4/1 6:24,第六教学楼[出门],1,允许通过
1330933,17705794,2019/4/1 6:24,第六教学楼[出门],1,允许通过
1331396,1326299,2019/4/1 6:25,飞凤轩[出门],1,允许通过
1331868,16920384,2019/4/1 6:27,第七教学楼[进门],1,允许通过
1331867,16920384,2019/4/1 6:27,第七教学楼[进门],1,允许通过
1330934,24010162,2019/4/1 6:27,第六教学楼[进门],1,允许通过
1331397,16864852,2019/4/1 6:27,飞凤轩[出门],1,允许通过
1331398,20531178,2019/4/1 6:28,飞凤轩[出门],1,允许通过
1330935,24010162,2019/4/1 6:28,第六教学楼[出门],1,允许通过
1331399,124859,2019/4/1 6:28,飞凤轩[出门],1,允许通过
1331400,1356470,2019/4/1 6:29,飞凤轩[出门],1,允许通过
1330936,24801595,2019/4/1 6:29,第六教学楼[出门],1,允许通过
1330938,24010162,2019/4/1 6:29,第六教学楼[进门],1,允许通过
1330937,24010162,2019/4/1 6:29,第六教学楼[进门],1,允许通过
1330939,20017930,2019/4/1 6:30,第六教学楼[出门],1,允许通过
1330865,24010162,2019/4/1 6:31,第五教学楼[出门],1,允许通过
1331401,9622315,2019/4/1 6:31,飞凤轩[出门],1,允许通过
1331402,9622315,2019/4/1 6:32,飞凤轩[进门],1,允许通过
1331403,15801451,2019/4/1 6:33,飞凤轩[出门],1,允许通过
1331404,19359866,2019/4/1 6:34,飞凤轩[出门],1,允许通过
1331405,9622315,2019/4/1 6:35,飞凤轩[出门],1,允许通过
1331406,1238278,2019/4/1 6:36,飞凤轩[出门],1,允许通过
1331407,16442340,2019/4/1 6:37,飞凤轩[出门],1,允许通过
1331408,19700234,2019/4/1 6:39,飞凤轩[出门],1,允许通过
1331409,21747610,2019/4/1 6:41,飞凤轩[出门],1,允许通过
1331410,419622,2019/4/1 6:41,飞凤轩[出门],1,允许通过
1331411,17112117,2019/4/1 6:49,飞凤轩[出门],1,允许通过
1331412,5806804,2019/4/1 6:51,飞凤轩[出门],1,允许通过
1331413,21438874,2019/4/1 6:52,飞凤轩[出门],1,允许通过
1331414,6021940,2019/4/1 6:52,飞凤轩[出门],1,允许通过
1331415,20523226,2019/4/1 6:53,飞凤轩[出门],1,允许通过
1331869,19442199,2019/4/1 6:56,第七教学楼[进门],1,允许通过
1331416,15625616,2019/4/1 6:58,飞凤轩[出门],1,允许通过
1331870,22963959,2019/4/1 6:58,第七教学楼[进门],1,允许通过
1331417,562582,2019/4/1 7:00,飞凤轩[出门],1,允许通过
1331418,19755610,2019/4/1 7:01,飞凤轩[出门],1,允许通过
1331419,18801799,2019/4/1 7:02,飞凤轩[出门],1,允许通过
1331420,24212807,2019/4/1 0:00,飞凤轩[出门],1,允许通过
1331421,19358186,2019/4/1 7:06,飞凤轩[出门],1,允许通过
1331422,20717962,2019/4/1 0:00,飞凤轩[出门],1,允许通过
1331871,2721255,2019/4/1 7:09,第七教学楼[进门],1,允许通过
1331423,13916804,2019/4/1 7:09,飞凤轩[出门],1,允许通过
1331424,6817076,2019/4/1 0:00,飞凤轩[出门],1,允许通过
1331425,12358500,2019/4/1 7:11,飞凤轩[出门],1,允许通过
1331426,18262967,2019/4/1 7:13,飞凤轩[出门],1,允许通过
1331427,21529546,2019/4/1 7:14,飞凤轩[出门],1,允许通过
1331428,17617476,2019/4/1 7:14,飞凤轩[出门],1,允许通过
1331429,20922020,2019/4/1 7:14,飞凤轩[出门],1,允许通过
1331430,20835012,2019/4/1 7:15,飞凤轩[出门],1,允许通过
1331431,20161818,2019/4/1 7:17,飞凤轩[出门],1,允许通过
1331432,24006618,2019/4/1 7:17,飞凤轩[出门],1,允许通过
1331433,19226602,2019/4/1 7:18,飞凤轩[出门],1,允许通过
1331766,19502391,2019/4/1 7:19,青鸾苑[出门],1,允许通过
1331434,20801082,2019/4/1 7:19,飞凤轩[出门],1,允许通过
1331767,19413607,2019/4/1 7:19,青鸾苑[出门],1,允许通过
1331435,21245194,2019/4/1 7:19,飞凤轩[出门],1,允许通过
1331872,20022544,2019/4/1 7:20,第七教学楼[进门],1,允许通过
1331436,18262967,2019/4/1 7:20,飞凤轩[进门],1,允许通过
1331437,17902981,2019/4/1 7:21,飞凤轩[出门],1,允许通过
1331438,24860034,2019/4/1 7:21,飞凤轩[进门],1,允许通过
1331439,19001306,2019/4/1 7:23,飞凤轩[出门],1,允许通过
1331440,21009434,2019/4/1 7:23,飞凤轩[出门],1,允许通过
1331441,19439722,2019/4/1 7:23,飞凤轩[出门],1,允许通过
1331442,19440410,2019/4/1 7:25,飞凤轩[出门],1,允许通过
1331443,19325616,2019/4/1 7:25,飞凤轩[出门],1,允许通过
1331444,19359866,2019/4/1 7:26,飞凤轩[进门],1,允许通过
1331445,22639082,2019/4/1 7:26,飞凤轩[出门],1,允许通过
1331446,19617370,2019/4/1 7:26,飞凤轩[出门],1,允许通过
1331447,18542202,2019/4/1 7:27,飞凤轩[出门],1,允许通过
1331448,18426266,2019/4/1 7:27,飞凤轩[出门],1,允许通过
1331449,20922020,2019/4/1 7:28,飞凤轩[出门],1,允许通过
1331450,20620010,2019/4/1 7:28,飞凤轩[出门],1,允许通过
1331873,18112791,2019/4/1 7:28,第七教学楼[进门],1,允许通过
1331451,21118378,2019/4/1 7:28,飞凤轩[出门],1,允许通过
1331768,245047,2019/4/1 7:30,青鸾苑[出门],1,允许通过
1331452,22019866,2019/4/1 7:30,飞凤轩[出门],1,允许通过
1331453,17106069,2019/4/1 7:30,飞凤轩[出门],1,允许通过
1331454,131222,2019/4/1 7:31,飞凤轩[出门],1,允许通过
1331455,20523338,2019/4/1 7:31,飞凤轩[出门],1,允许通过
1331456,15726708,2019/4/1 7:31,飞凤轩[出门],1,允许通过
1331457,16853973,2019/4/1 7:31,飞凤轩[出门],1,允许通过
1331458,20706394,2019/4/1 7:32,飞凤轩[出门],1,允许通过
1331874,22129044,2019/4/1 7:32,第七教学楼[进门],1,允许通过
1331459,24321546,2019/4/1 7:33,飞凤轩[出门],1,允许通过
1331460,20117514,2019/4/1 7:33,飞凤轩[出门],1,允许通过
1331461,21449226,2019/4/1 7:33,飞凤轩[出门],1,允许通过
1331462,21524362,2019/4/1 7:34,飞凤轩[出门],1,允许通过
1331463,19442490,2019/4/1 7:35,飞凤轩[出门],1,允许通过
1331464,9249909,2019/4/1 7:35,飞凤轩[出门],1,允许通过
1331465,17055125,2019/4/1 7:36,飞凤轩[出门],1,允许通过
1331466,1401350,2019/4/1 7:36,飞凤轩[出门],1,允许通过
1331769,8404164,2019/4/1 7:36,青鸾苑[出门],1,允许通过
1331467,19344282,2019/4/1 7:36,飞凤轩[出门],1,允许通过
