,Stu_Index,CardNo,Sex,Major,AccessCardNo,Acc_Index,Date,Address,Access,Describe
0,41,180041,女,18国际金融,19748650,1346249,2019/4/2 9:46,青鸾苑[出门],1,允许通过
1,41,180041,女,18国际金融,19748650,1346258,2019/4/2 10:31,青鸾苑[进门],1,允许通过
2,41,180041,女,18国际金融,19748650,1346260,2019/4/2 0:00,青鸾苑[出门],1,允许通过
3,83,180083,女,18会计,21159002,1345061,2019/4/29 20:34,飞凤轩[进门],0,禁止通过-没有权限
4,101,180101,女,18会计,18840522,1337058,2019/4/7 21:09,飞凤轩[进门],1,允许通过
5,101,180101,女,18会计,18840522,1344564,2019/4/29 14:52,飞凤轩[出门],1,允许通过
6,101,180101,女,18会计,18840522,1344850,2019/4/29 18:39,飞凤轩[进门],1,允许通过
7,101,180101,女,18会计,18840522,1356200,2019/4/14 21:45,飞凤轩[进门],1,允许通过
8,127,180127,女,18会计,21947050,1348536,2019/4/9 13:21,飞凤轩[进门],0,禁止通过-没有权限
9,127,180127,女,18会计,21947050,1348538,2019/4/9 13:21,飞凤轩[进门],0,禁止通过-没有权限
10,127,180127,女,18会计,21947050,1348537,2019/4/9 13:21,飞凤轩[进门],0,禁止通过-没有权限
11,143,180143,女,18会计,19841146,1332806,2019/4/5 18:01,第六教学楼[进门],1,允许通过
12,143,180143,女,18会计,19841146,1333335,2019/4/6 17:28,第六教学楼[进门],1,允许通过
13,143,180143,女,18会计,19841146,1333678,2019/4/7 11:12,第六教学楼[进门],1,允许通过
14,143,180143,女,18会计,19841146,1334342,2019/4/3 0:00,第六教学楼[出门],1,允许通过
15,143,180143,女,18会计,19841146,1357867,2019/4/17 9:01,第六教学楼[进门],1,允许通过
16,143,180143,女,18会计,19841146,1367531,2019/4/23 21:37,第六教学楼[进门],1,允许通过
17,154,180154,女,18会计,709322,1332168,2019/4/1 22:27,第六教学楼[出门],1,允许通过
