CardNo,Money,CardCount,Surplus,type
180001,32,215,25.443750000000012,1
180002,46,269,66.34782608695652,1
180004,96,843,65.60312500000002,3
180005,35,693,81.66571428571432,0
180006,23,415,41.160869565217396,1
180007,114,908,123.17017543859652,3
180008,56,560,48.667857142857144,0
180009,46,527,89.79782608695653,0
180011,108,1007,46.92962962962968,3
180012,100,1016,80.13800000000002,3
180013,50,612,52.002000000000024,0
180014,136,952,48.71544117647063,3
180015,83,811,56.15783132530122,0
180016,115,969,64.52434782608695,3
180017,64,665,77.64531249999999,0
180018,30,472,97.67333333333335,1
180021,60,375,80.3033333333333,1
180022,16,257,95.46250000000002,1
180024,30,457,44.82999999999998,1
180025,74,744,43.813513513513506,0
180026,108,836,78.0833333333333,3
180027,71,823,123.68732394366197,2
180029,9,545,47.77777777777778,1
180030,25,373,63.07599999999999,1
180031,101,696,83.58217821782176,0
180032,28,246,54.728571428571406,1
180035,18,391,33.305555555555564,1
180036,116,773,108.62672413793106,3
180037,31,566,63.63548387096772,1
180038,65,770,82.49384615384614,0
180040,62,705,48.070967741935455,0
180041,6,324,308.90000000000003,2
180042,90,793,52.674444444444504,0
180045,123,858,52.690243902438986,3
180046,77,684,43.56753246753251,0
180047,31,586,60.34193548387097,1
180048,96,704,106.50687499999998,2
180049,27,521,54.637037037037004,1
180051,73,458,44.5904109589041,0
180052,94,844,86.03191489361701,3
180053,33,516,81.29696969696973,1
180054,55,437,118.00636363636353,2
180055,109,723,79.2596330275229,3
180058,68,660,47.217941176470546,0
180059,75,560,89.204,0
180061,120,741,30.005833333333335,3
180063,67,847,26.707462686567162,0
180064,58,499,72.97931034482761,0
180065,80,660,43.21624999999999,0
180066,79,637,74.73898734177213,0
180067,35,347,43.69714285714285,1
180069,76,643,68.82631578947368,0
180070,44,606,76.87045454545449,0
180071,116,1065,56.05000000000002,3
180074,92,763,64.61630434782606,0
180075,6,361,12.839999999999998,1
180076,63,614,136.404761904762,2
180077,88,816,132.91363636363633,2
180078,46,546,140.80869565217387,2
180079,62,413,79.68870967741935,1
180080,65,728,75.33076923076926,0
180081,60,626,35.42666666666666,0
180082,91,751,60.60109890109889,0
180083,84,764,41.5295238095238,0
180084,68,890,84.36176470588236,0
180085,102,835,54.78431372549021,3
180086,110,743,44.28181818181818,0
180087,90,752,63.575555555555496,0
180088,48,521,44.95624999999999,1
180089,73,455,68.38219178082186,0
180090,59,351,53.18305084745761,1
180091,104,700,131.06346153846158,2
180092,72,636,58.86805555555551,0
180093,12,357,177.25,2
180094,67,623,83.55074626865678,0
180095,84,840,113.54047619047617,2
180096,91,826,55.94395604395604,0
180097,40,543,128.40250000000003,2
180098,86,754,67.12279069767442,0
180099,68,414,53.51323529411768,1
180100,19,444,44.673684210526325,1
180101,28,105,45.25357142857143,1
180102,44,339,54.02045454545455,1
180104,87,785,110.20344827586206,2
180105,125,896,58.375199999999985,3
180106,106,840,89.73962264150943,3
180107,41,144,46.56097560975606,1
180108,112,918,147.56607142857155,2
180109,95,708,174.9315789473685,2
180110,54,477,71.0462962962963,1
180111,131,1120,54.55190839694659,3
180112,72,691,118.48055555555554,2
180113,122,939,46.20819672131149,3
180114,98,877,82.6489795918367,3
180115,57,382,45.34736842105262,1
180117,44,748,169.91590909090908,2
180118,83,829,45.77831325301204,0
180119,26,509,38.23076923076922,1
180120,47,460,71.69893617021278,1
180121,65,598,92.53230769230774,0
180122,93,736,94.70645161290328,0
180123,83,761,57.150963855421686,0
180124,62,686,52.054838709677426,0
180125,95,946,83.60842105263156,3
180126,53,572,65.88867924528299,0
180127,44,436,51.39318181818181,1
180131,77,687,71.6,0
180132,64,618,72.88124999999994,0
180133,90,898,70.60777777777788,3
180134,12,312,47.70833333333334,1
180135,114,798,108.27982456140357,3
180136,89,666,101.82415730337075,0
180137,123,881,98.2455284552846,3
180138,60,480,48.03166666666669,1
180139,95,779,65.32842105263158,0
180140,63,439,192.94761904761904,2
180141,64,945,42.0578125,0
180142,100,668,58.428999999999995,0
180143,116,790,64.99137931034487,3
180144,94,797,55.70106382978726,0
180145,80,633,59.383749999999964,0
180146,92,752,51.16869565217398,0
180147,62,583,100.19516129032263,0
180148,54,599,53.71000000000001,0
180149,88,861,101.90136363636367,3
180150,57,407,63.189473684210505,1
180151,100,651,146.65800000000007,2
180153,125,980,52.372800000000026,3
180154,63,574,43.361904761904704,0
180155,16,294,86.36875000000002,1
180156,24,419,42.39166666666668,1
180158,2,425,2.1,1
180159,134,925,64.91567164179104,3
180160,59,589,35.85593220338981,0
180162,89,614,84.3280898876405,0
180164,128,866,46.21328125000001,3
180165,79,952,69.0025316455696,3
180166,70,654,140.62571428571422,2
180167,158,1141,122.16012658227831,3
180168,35,406,103.89285714285715,1
180169,111,821,50.46540540540542,3
180170,110,787,48.449999999999974,3
180171,83,801,126.68795180722886,2
180172,58,540,61.11896551724136,0
180173,97,682,50.7360824742268,0
180175,115,1069,73.08782608695654,3
180176,108,924,48.664814814814854,3
180177,123,912,116.40162601626005,3
180178,70,381,26.981428571428566,1
180179,43,571,67.71395348837213,0
180180,14,165,38.49285714285713,1
180181,56,473,132.71250000000003,2
180182,80,769,109.91875,2
180183,55,633,67.28363636363632,0
180184,24,512,21.0725,1
180187,40,369,36.78500000000004,1
180188,97,646,132.78556701030928,2
180189,106,938,110.47150943396224,3
180191,94,704,50.30957446808511,0
180192,136,910,61.47867647058824,3
180193,126,793,56.32936507936514,3
180194,15,549,41.5,1
180196,92,865,69.23152173913049,3
180197,76,762,101.92631578947372,0
180198,107,936,33.995327102803756,3
180199,41,605,42.34634146341462,0
180200,21,487,79.63333333333333,1
180201,37,494,96.71351351351355,1
180202,69,727,59.66231884057972,0
180203,105,674,53.75809523809523,0
180204,46,653,41.72826086956524,0
180206,35,506,124.45714285714291,2
180207,39,489,42.55102564102566,1
180208,79,596,52.454430379746846,0
180209,18,455,29.61111111111111,1
180210,67,481,56.36268656716418,0
180212,40,189,83.29499999999999,1
180213,79,506,40.706329113924056,0
180214,16,178,49.5625,1
180215,38,792,41.25263157894739,0
180218,107,788,99.90560747663542,3
180221,55,635,34.361818181818215,0
180222,58,578,86.99655172413793,0
180224,45,364,114.62000000000008,2
180225,105,561,72.8038095238095,0
180226,12,389,48.275,1
180227,43,408,48.21395348837208,1
180228,26,461,89.08307692307693,1
180229,18,299,55.133333333333326,1
180231,38,291,37.46315789473684,1
180232,34,590,37.84705882352941,1
180233,10,263,51.160000000000004,1
180234,39,365,90.53846153846159,1
180235,11,309,28.90909090909091,1
180236,84,545,97.03571428571426,0
180237,89,908,79.28483146067418,3
180239,110,568,62.74181818181818,0
180240,64,596,58.445312500000014,0
180241,95,739,59.565263157894755,0
180242,72,714,33.30138888888891,0
180243,50,566,90.78199999999997,0
180244,67,678,72.97462686567162,0
180245,41,284,55.46097560975609,1
180246,77,642,44.84805194805192,0
180247,42,515,49.84523809523809,1
180248,69,778,46.09275362318841,0
180249,71,766,51.93802816901407,0
180251,38,413,44.8078947368421,1
180252,67,618,63.40402985074632,0
180253,79,637,63.089873417721535,0
180254,40,623,99.61250000000007,0
180255,104,874,76.91346153846159,3
180257,99,858,154.9636363636364,2
180258,84,668,43.922619047618994,0
180259,65,522,66.90615384615379,0
180260,35,444,44.87142857142857,1
180261,81,876,48.35679012345678,0
180262,84,614,60.969047619047615,0
180264,90,880,61.677777777777806,3
180265,102,840,50.380392156862726,3
180266,88,734,93.18409090909087,0
180267,73,798,30.023287671232875,0
180268,97,727,66.71288659793817,0
180269,41,493,42.03658536585366,1
180272,51,609,49.0227450980392,0
180273,37,158,63.013513513513516,1
180274,123,1032,132.78943089430888,3
180275,64,657,51.26718749999997,0
180276,99,777,62.771717171717185,0
180277,69,806,78.3927536231884,0
180278,111,829,69.82162162162163,3
180279,69,630,79.96376811594206,0
180280,79,535,48.86202531645569,0
180281,67,775,57.889552238805955,0
180282,118,845,64.13135593220332,3
180283,71,581,125.72816901408451,2
180285,46,505,127.93478260869566,2
180286,98,717,57.6,0
180287,107,1071,56.69906542056079,3
180288,145,821,95.28551724137937,3
180291,52,650,50.886538461538436,0
180292,52,289,41.77307692307692,1
180293,116,810,82.27327586206893,3
180294,50,490,53.475999999999985,1
180295,97,677,67.65876288659793,0
180296,92,845,55.05652173913041,0
180297,50,638,57.76799999999999,0
180298,67,698,126.70447761194033,2
180299,58,483,56.04137931034486,0
180300,18,297,63.78888888888889,1
180302,16,197,50.77499999999999,1
180304,18,339,55.87222222222224,1
180305,83,626,151.55180722891564,2
180306,16,628,54.33125,1
180308,59,777,72.92101694915253,0
180309,96,677,58.76874999999999,0
180311,37,515,56.18648648648649,1
180312,33,476,50.8621212121212,1
180313,147,685,146.76666666666645,2
180314,72,749,57.08750000000003,0
180315,34,442,29.511764705882367,1
180316,101,686,58.6069306930693,0
180317,111,875,70.85351351351348,3
180318,114,768,49.715789473684204,3
180319,42,434,64.32380952380953,1
180320,51,433,93.13725490196077,1
180321,63,793,71.11904761904762,0
180323,60,433,23.191666666666666,1
180325,90,751,99.59333333333329,0
180326,74,665,103.85270270270269,2
180327,39,444,60.992307692307655,1
180328,76,561,78.4315789473684,0
180331,165,916,50.75151515151511,3
180332,100,789,51.222999999999985,0
180333,62,834,53.501612903225734,0
180334,88,924,58.90909090909091,3
180335,60,713,90.68166666666669,0
180336,63,385,160.88730158730138,2
180337,47,533,53.98297872340426,1
180338,66,663,123.0766666666667,2
180339,110,841,115.86636363636372,3
180340,75,739,43.24666666666662,0
180341,41,496,48.43902439024392,1
180342,150,809,64.25466666666664,3
180343,131,1157,59.642748091602996,3
180344,75,658,41.821333333333335,0
180345,117,999,54.915384615384546,3
180346,61,947,76.39999999999995,0
180348,50,596,49.511999999999986,0
180351,54,694,62.099999999999966,0
180352,47,619,41.944680851063815,0
180353,69,672,72.20289855072468,0
180354,39,409,87.85384615384616,1
180355,46,539,48.74347826086955,1
180356,58,706,88.53275862068963,0
180357,56,532,58.971428571428575,0
180358,52,508,100.84423076923082,2
180359,86,567,64.84651162790693,0
180360,104,745,54.43846153846153,0
180361,64,554,51.80781250000002,0
180362,37,363,91.50270270270269,1
180363,166,997,111.64096385542172,3
180364,50,718,49.39399999999998,0
180367,167,1137,57.1419161676647,3
